,city,hotel,reviewer,review,polarity,aspect_terms,P_sentiment,N_sentiment
0,Makati,Crown Regency Hotel Makati,LuisDavid1981,"On top of that, next morning i went to take the buffet breakfast and barely touched my food.",0.183,breakfast,Positive,NULL
1,Makati,Crown Regency Hotel Makati,nhez,"also we love their food, buffet breakfast is not just the traditional Filipino breakfast.",0.25,breakfast,Positive,NULL
2,Makati,Crown Regency Hotel Makati,Torome27,Bonus was that it included breakfast which was a pleasant surprise.,0.733,breakfast,Positive,NULL
3,Makati,Crown Regency Hotel Makati,mobless,The breakfast was also okay as it was a continental breakfast so don’t expect anything more out of it.,0.5,breakfast breakfast,Positive,NULL
4,Makati,Crown Regency Hotel Makati,Bill Y,The hotel is not far from from shopping and other conveniences so it is in a good location.,0.4,hotel,Positive,NULL
5,Makati,Crown Regency Hotel Makati,Kimberly M,Unwelcoming and Rude hotel staff!,-0.3,hotel,NULL,Negative
6,Makati,Crown Regency Hotel Makati,Mick,Stayed at this hotel for 2 nights and we both were fairly pleased.,0.5,hotel,Positive,NULL
7,Makati,Crown Regency Hotel Makati,teemothyt,"The hotel experience was below average, the rooms were okay but the bathrooms were clearly not maintained.",0.15,hotel,Positive,NULL
8,Makati,Crown Regency Hotel Makati,blessie,The truth was this was the worst hotel I ever stayed in the Philippines.,-1.0,hotel,NULL,Negative
9,Makati,Crown Regency Hotel Makati,Pat B,"If you have a long flight and dream of a soak in  hot bath or shower, then this hotel is NOT for you.",0.1,hotel,Positive,NULL
10,Makati,Crown Regency Hotel Makati,blessie,This hotel was not cheap at over P4K for one night - which was meant to be for a Superior room!.,0.55,hotel,Positive,NULL
11,Makati,Crown Regency Hotel Makati,sevi,Very unique style and design of the hotel I like those painting on the hallway.,0.375,hotel,Positive,NULL
12,Makati,Crown Regency Hotel Makati,Samfra,"The worst hotel stay ever in my life, and I have been in a few hundred hotels.",-1.0,hotel,NULL,Negative
13,Makati,Crown Regency Hotel Makati,grisja,The worst choice of a hotel that I ever made!,-1.0,hotel,NULL,Negative
